Athlete,Country,Gold,Silver,Bronze,Total,year
Jack Medica,United States,1,2,0,3,1936
Friedrich Gerhard,Germany,1,1,0,2,1936
Arie van Vliet,Netherlands,1,1,0,2,1936
Saverio Ragno,Italy,1,1,0,2,1936
Georges Miez,Switzerland,1,1,0,2,1936
Masanori Yusa,Japan,1,1,0,2,1936
Marshall Wayne,United States,1,1,0,2,1936
Godfrey Brown,Great Britain,1,1,0,2,1936
Ralph Metcalfe,United States,1,1,0,2,1936
Werner March,Germany,1,1,0,2,1936
Matthias Volz,Germany,1,0,2,3,1936
Aladár Gerevich,Hungary,1,0,1,2,1936
Giorgio Bocchino,Italy,1,0,1,2,1936
Giancarlo Cornaggia-Medici,Italy,1,0,1,2,1936
Aleksanteri Saarvala,Finland,1,0,1,2,1936
Torsten Ullman,Sweden,1,0,1,2,1936
Ferenc Csík,Hungary,1,0,1,2,1936
Shigeo Arai,Japan,1,0,1,2,1936
Dorothy Poynton-Hill,United States,1,0,1,2,1936
Volmari Iso-Hollo,Finland,1,0,1,2,1936
Gerhard Stöck,Germany,1,0,1,2,1936
Naoto Tajima,Japan,1,0,1,2,1936
Sten Suvio,Finland,1,0,0,1,1936
Jean Despeaux,France,1,0,0,1,1936
Roger Michelot,France,1,0,0,1,1936
Óscar Casanovas,Argentina,1,0,0,1,1936
Willi Kaiser,Germany,1,0,0,1,1936
Herbert Runge,Germany,1,0,0,1,1936
Imre Harangi,Hungary,1,0,0,1,1936
Ulderico Sergo,Italy,1,0,0,1,1936
Sam Balter,United States,1,0,0,1,1936
Ralph Bishop,United States,1,0,0,1,1936
Joe Fortenberry,United States,1,0,0,1,1936
Tex Gibbons,United States,1,0,0,1,1936
Francis Johnson,United States,1,0,0,1,1936
Carl Knowles,United States,1,0,0,1,1936
Frank Lubin,United States,1,0,0,1,1936
Art Mollner,United States,1,0,0,1,1936
Don Piper,United States,1,0,0,1,1936
Jack Ragland,United States,1,0,0,1,1936
Willard Schmidt,United States,1,0,0,1,1936
Carl Shy,United States,1,0,0,1,1936
Duane Swanson,United States,1,0,0,1,1936
Bill Wheatley,United States,1,0,0,1,1936
Alfons Dorfner,Austria,1,0,0,1,1936
Adi Kainz,Austria,1,0,0,1,1936
Frank Amyot,Canada,1,0,0,1,1936
Ernst Krebs,Germany,1,0,0,1,1936
Ludwig Landen,Germany,1,0,0,1,1936
Paul Wevers,Germany,1,0,0,1,1936
Erik Bladström,Sweden,1,0,0,1,1936
Sven Johansson,Sweden,1,0,0,1,1936
Jan Brzák-Felix,Czech Republic,1,0,0,1,1936
Václav Mottl,Czech Republic,1,0,0,1,1936
Zdeněk Škrland,Czech Republic,1,0,0,1,1936
Vladimír Syrovátka,Czech Republic,1,0,0,1,1936
Manuel Andrada,Argentina,1,0,0,1,1936
Roberto Cavanagh,Argentina,1,0,0,1,1936
Luis Duggan,Argentina,1,0,0,1,1936
Andrés Gazzotti,Argentina,1,0,0,1,1936
Heinz Brandt,Germany,1,0,0,1,1936
Rudolf Lippert,Germany,1,0,0,1,1936
Marten von Barnekow,Germany,1,0,0,1,1936
Hermann von Oppeln-Bronikowski,Germany,1,0,0,1,1936
Konrad von Wangenheim,Germany,1,0,0,1,1936
Robert Dorgebray,France,1,0,0,1,1936
Ernst Ihbe,Germany,1,0,0,1,1936
Roger Le Nizerhy,France,1,0,0,1,1936
Carl Lorenz,Germany,1,0,0,1,1936
Toni Merkens,Germany,1,0,0,1,1936
Richard Allen,India,1,0,0,1,1936
Dhyan Chand,India,1,0,0,1,1936
Roop Singh,India,1,0,0,1,1936
Ernie Goodsir-Cullen,India,1,0,0,1,1936
Ali Dara,India,1,0,0,1,1936
Lionel Emmett,India,1,0,0,1,1936
Peter Paul Fernandes,India,1,0,0,1,1936
Joe Galibardy,India,1,0,0,1,1936
Sayed Muhammad Hussain,India,1,0,0,1,1936
Sayed Jaffar,India,1,0,0,1,1936
Ahmed Sher Khan,India,1,0,0,1,1936
Ahsan Muhammad Khan,India,1,0,0,1,1936
Mirza Nasir-ud-Din Masood,India,1,0,0,1,1936
Cyril Michie,India,1,0,0,1,1936
Baboo Nimal,India,1,0,0,1,1936
Joe Phillips,India,1,0,0,1,1936
Shabban Shahab-ud-Din,India,1,0,0,1,1936
Gurcharan Singh,India,1,0,0,1,1936
Carlyle Tapsell,India,1,0,0,1,1936
Ilona Elek-Schacherer,Hungary,1,0,0,1,1936
Tibor Berczelly,Hungary,1,0,0,1,1936
Pál Kovács,Hungary,1,0,0,1,1936
László Rajcsányi,Hungary,1,0,0,1,1936
Imre Rajczy,Hungary,1,0,0,1,1936
Giancarlo Brusati,Italy,1,0,0,1,1936
Manlio Di Rosa,Italy,1,0,0,1,1936
Gioacchino Guaragna,Italy,1,0,0,1,1936
Edoardo Mangiarotti,Italy,1,0,0,1,1936
Alfredo Pezzana,Italy,1,0,0,1,1936
Ciro Verratti,Italy,1,0,0,1,1936
Giuseppe Baldo,Italy,1,0,0,1,1936
Sergio Bertoni,Italy,1,0,0,1,1936
Carlo Biagi,Italy,1,0,0,1,1936
Giulio Cappelli,Italy,1,0,0,1,1936
Alfredo Foni,Italy,1,0,0,1,1936
Annibale Frossi,Italy,1,0,0,1,1936
Francesco Gabriotti,Italy,1,0,0,1,1936
Ugo Locatelli,Italy,1,0,0,1,1936
Libero Marchini,Italy,1,0,0,1,1936
Alfonso Negro,Italy,1,0,0,1,1936
Achille Piccini,Italy,1,0,0,1,1936
Pietro Rava,Italy,1,0,0,1,1936
Luigi Scarabello,Italy,1,0,0,1,1936
Bruno Venturini,Italy,1,0,0,1,1936
Erna Bürger,Germany,1,0,0,1,1936
Anita Bärwirth,Germany,1,0,0,1,1936
Isolde Frölian,Germany,1,0,0,1,1936
Friedl Iby,Germany,1,0,0,1,1936
Trudi Meyer,Germany,1,0,0,1,1936
Paula Pöhlsen,Germany,1,0,0,1,1936
Julie Schmitt,Germany,1,0,0,1,1936
Käthe Sohnemann,Germany,1,0,0,1,1936
Franz Beckert,Germany,1,0,0,1,1936
Willi Stadel,Germany,1,0,0,1,1936
Innozenz Stangl,Germany,1,0,0,1,1936
Walter Steffens,Germany,1,0,0,1,1936
Ernst Winter,Germany,1,0,0,1,1936
Alois Hudec,Czech Republic,1,0,0,1,1936
Willy Bandholz,Germany,1,0,0,1,1936
Wilhelm Baumann,Germany,1,0,0,1,1936
Helmut Berthold,Germany,1,0,0,1,1936
Helmut Braselmann,Germany,1,0,0,1,1936
Willi Brinkmann,Germany,1,0,0,1,1936
Georg Dascher,Germany,1,0,0,1,1936
Kurt Dossin,Germany,1,0,0,1,1936
Fritz Fromm,Germany,1,0,0,1,1936
Hannes Hansen,Germany,1,0,0,1,1936
Erich Herrmann,Germany,1,0,0,1,1936
Heinrich Keimig,Germany,1,0,0,1,1936
Hans Keiter,Germany,1,0,0,1,1936
Alfred Klingler,Germany,1,0,0,1,1936
Arthur Knautz,Germany,1,0,0,1,1936
Karl Kreutzberg,Germany,1,0,0,1,1936
Heinz Körvers,Germany,1,0,0,1,1936
Wilhelm Müller,Germany,1,0,0,1,1936
Günther Ortmann,Germany,1,0,0,1,1936
Edgar Reinhardt,Germany,1,0,0,1,1936
Fritz Spengler,Germany,1,0,0,1,1936
Rudolf Stahl,Germany,1,0,0,1,1936
Hans Theilig,Germany,1,0,0,1,1936
Gotthard Handrick,Germany,1,0,0,1,1936
Jack Beresford,Great Britain,1,0,0,1,1936
Dick Southwood,Great Britain,1,0,0,1,1936
Herbert Adamski,Germany,1,0,0,1,1936
Dieter Arend,Germany,1,0,0,1,1936
Fritz Bauer,Germany,1,0,0,1,1936
Rudolf Eckstein,Germany,1,0,0,1,1936
Willi Eichhorn,Germany,1,0,0,1,1936
Ernst Gaber,Germany,1,0,0,1,1936
Gerhard Gustmann,Germany,1,0,0,1,1936
Martin Karl,Germany,1,0,0,1,1936
Hans Maier,Germany,1,0,0,1,1936
Willi Menne,Germany,1,0,0,1,1936
Toni Rom,Germany,1,0,0,1,1936
Gustav Schäfer,Germany,1,0,0,1,1936
Hugo Strauß,Germany,1,0,0,1,1936
Paul Söllner,Germany,1,0,0,1,1936
Walter Volle,Germany,1,0,0,1,1936
Gordy Adam,United States,1,0,0,1,1936
Chuck Day,United States,1,0,0,1,1936
Don Hume,United States,1,0,0,1,1936
Shorty Hunt,United States,1,0,0,1,1936
Jim McMillin,United States,1,0,0,1,1936
Bob Moch,United States,1,0,0,1,1936
Roger Morris,United States,1,0,0,1,1936
Joe Rantz,United States,1,0,0,1,1936
Johnny White,United States,1,0,0,1,1936
Cornelius van Oyen,Germany,1,0,0,1,1936
Willy Røgeberg,Norway,1,0,0,1,1936
Hideko Maehata,Japan,1,0,0,1,1936
Tetsuo Hamuro,Japan,1,0,0,1,1936
Shigeo Sugiura,Japan,1,0,0,1,1936
Masaharu Taguchi,Japan,1,0,0,1,1936
Noboru Terada,Japan,1,0,0,1,1936
Willy den Ouden,Netherlands,1,0,0,1,1936
Jopie Selbach,Netherlands,1,0,0,1,1936
Nida Senff,Netherlands,1,0,0,1,1936
Tini Wagner,Netherlands,1,0,0,1,1936
Marjorie Gestring,United States,1,0,0,1,1936
Dick Degener,United States,1,0,0,1,1936
Adolph Kiefer,United States,1,0,0,1,1936
Mihály Bozsi,Hungary,1,0,0,1,1936
Jenő Brandi,Hungary,1,0,0,1,1936
György Bródy,Hungary,1,0,0,1,1936
Olivér Halassy,Hungary,1,0,0,1,1936
Kálmán Hazai,Hungary,1,0,0,1,1936
Márton Homonnai,Hungary,1,0,0,1,1936
György Kutasi,Hungary,1,0,0,1,1936
István Molnár,Hungary,1,0,0,1,1936
János Németh,Hungary,1,0,0,1,1936
Miklós Sárkány,Hungary,1,0,0,1,1936
Sándor Tarics,Hungary,1,0,0,1,1936
Robert Fein,Austria,1,0,0,1,1936
Khadr El-Touni,Egypt,1,0,0,1,1936
Anwar Mousbah,Egypt,1,0,0,1,1936
Louis Hostin,France,1,0,0,1,1936
Josef Manger,Germany,1,0,0,1,1936
Tony Terlazzo,United States,1,0,0,1,1936
Lauri Koskela,Finland,1,0,0,1,1936
Kustaa Pihlajamäki,Finland,1,0,0,1,1936
Émile Poilvé,France,1,0,0,1,1936
Károly Kárpáti,Hungary,1,0,0,1,1936
Márton Lőrincz,Hungary,1,0,0,1,1936
Ödön Zombori,Hungary,1,0,0,1,1936
Axel Cadier,Sweden,1,0,0,1,1936
Knut Fridell,Sweden,1,0,0,1,1936
Ivar Johansson,Sweden,1,0,0,1,1936
Rudolf Svedberg,Sweden,1,0,0,1,1936
Yaşar Erkan,Turkey,1,0,0,1,1936
Frank Lewis,United States,1,0,0,1,1936
Miles Bellville,Great Britain,1,0,0,1,1936
Bruno Bianchi,Italy,1,0,0,1,1936
Peter Bischoff,Germany,1,0,0,1,1936
Christopher Boardman,Great Britain,1,0,0,1,1936
Luigi De Manincor,Italy,1,0,0,1,1936
Russell Harmer,Great Britain,1,0,0,1,1936
Daan Kagchelland,Netherlands,1,0,0,1,1936
Charles Leaf,Great Britain,1,0,0,1,1936
Leonard Martin,Great Britain,1,0,0,1,1936
Domenico Mordini,Italy,1,0,0,1,1936
Luigi Mino Poggi,Italy,1,0,0,1,1936
Enrico Poggi,Italy,1,0,0,1,1936
Giovanni Leone Reggio,Italy,1,0,0,1,1936
Hans-Joachim Weise,Germany,1,0,0,1,1936
Gunnar Höckert,Finland,1,0,0,1,1936
Ilmari Salminen,Finland,1,0,0,1,1936
Godfrey Rampling,Great Britain,1,0,0,1,1936
Bill Roberts,Great Britain,1,0,0,1,1936
Harold Whitlock,Great Britain,1,0,0,1,1936
Freddie Wolff,Great Britain,1,0,0,1,1936
Tilly Fleischer,Germany,1,0,0,1,1936
Gisela Mauermayer,Germany,1,0,0,1,1936
Karl Hein,Germany,1,0,0,1,1936
Hans Woellke,Germany,1,0,0,1,1936
Ibolya Csák,Hungary,1,0,0,1,1936
Ondina Valla,Italy,1,0,0,1,1936
Son Gi-Jeong,Japan,1,0,0,1,1936
Jack Lovelock,New Zealand,1,0,0,1,1936
Harriet Bland,United States,1,0,0,1,1936
Betty Robinson,United States,1,0,0,1,1936
Annette Rogers,United States,1,0,0,1,1936
Ken Carpenter,United States,1,0,0,1,1936
Foy Draper,United States,1,0,0,1,1936
Glenn Hardin,United States,1,0,0,1,1936
Corny Johnson,United States,1,0,0,1,1936
Earle Meadows,United States,1,0,0,1,1936
Glenn Morris,United States,1,0,0,1,1936
Forrest Towns,United States,1,0,0,1,1936
Archie Williams,United States,1,0,0,1,1936
John Woodruff,United States,1,0,0,1,1936
Frank Wykoff,United States,1,0,0,1,1936
Hermann Schreiber,Switzerland,1,0,0,1,1936
Günter Oskar Dyhrenfurth,Switzerland,1,0,0,1,1936
Hettie Dyhrenfurth,Switzerland,1,0,0,1,1936
Hermann Kutschera,Austria,1,0,0,1,1936
Urho Karhumäki,Finland,1,0,0,1,1936
Franz Sondinger,Germany,1,0,0,1,1936
Werner Mayer,Germany,1,0,0,1,1936
Paul Höffer,Germany,1,0,0,1,1936
Walter March,Germany,1,0,0,1,1936
Emil Sutor,Germany,1,0,0,1,1936
Farpi Vignoli,Italy,1,0,0,1,1936
Alex Walter Diggelmann,Switzerland,1,0,0,1,1936
Eugen Mack,Switzerland,0,4,1,5,1936
Edward Gardère,France,0,2,0,2,1936
Michael Reusch,Switzerland,0,2,0,2,1936
Josef Walter,Switzerland,0,2,0,2,1936
Karl Proisl,Austria,0,1,1,2,1936
Rupert Weinstabl,Austria,0,1,1,2,1936
Harvey Charters,Canada,0,1,1,2,1936
Warren Saker,Canada,0,1,1,2,1936
Pierre Georget,France,0,1,1,2,1936
Ernst Nievergelt,Switzerland,0,1,1,2,1936
Albert Bachmann,Switzerland,0,1,1,2,1936
Hermann Betschart,Switzerland,0,1,1,2,1936
Alex Homberger,Switzerland,0,1,1,2,1936
Hans Homberger,Switzerland,0,1,1,2,1936
Karl Schmid,Switzerland,0,1,1,2,1936
Gisela Jacob-Arendt,Germany,0,1,1,2,1936
Shunpei Uto,Japan,0,1,1,2,1936
Katherine Rawls,United States,0,1,1,2,1936
August Neo,Estonia,0,1,1,2,1936
Nikolai Stepulov,Estonia,0,1,0,1,1936
Michael Murach,Germany,0,1,0,1,1936
Richard Vogt,Germany,0,1,0,1,1936
Gavino Matta,Italy,0,1,0,1,1936
Henry Tiller,Norway,0,1,0,1,1936
Guillermo Lovell,Argentina,0,1,0,1,1936
Gord Aitchison,Canada,0,1,0,1,1936
Ian Allison,Canada,0,1,0,1,1936
Art Chapman,Canada,0,1,0,1,1936
Chuck Chapman,Canada,0,1,0,1,1936
Ed Dawson,Canada,0,1,0,1,1936
Toots Meretsky,Canada,0,1,0,1,1936
Doug Peden,Canada,0,1,0,1,1936
Jimmy Stewart,Canada,0,1,0,1,1936
Red Wiseman,Canada,0,1,0,1,1936
Charlie Catterall,South Africa,0,1,0,1,1936
Jackie Wilson,United States,0,1,0,1,1936
Viktor Kalisch,Austria,0,1,0,1,1936
Fritz Landertinger,Austria,0,1,0,1,1936
Karl Steinhuber,Austria,0,1,0,1,1936
Henri Eberhardt,France,0,1,0,1,1936
Fritz Bondroit,Germany,0,1,0,1,1936
Helmut Cämmerer,Germany,0,1,0,1,1936
Erich Hanisch,Germany,0,1,0,1,1936
Willi Horn,Germany,0,1,0,1,1936
Ewald Tilker,Germany,0,1,0,1,1936
Bohuslav Karlík,Czech Republic,0,1,0,1,1936
Gérard de Balorre,France,0,1,0,1,1936
Jan de Bruine,Netherlands,0,1,0,1,1936
Daniel Gillois,France,0,1,0,1,1936
Johan Greter,Netherlands,0,1,0,1,1936
André Jousseaumé,France,0,1,0,1,1936
Zdzisław Kawecki,Poland,0,1,0,1,1936
Seweryn Kulesza,Poland,0,1,0,1,1936
Henri Rang,Romania,0,1,0,1,1936
Henryk Leliwa-Roycewicz,Poland,0,1,0,1,1936
Earl Thomson,United States,0,1,0,1,1936
Henri van Schaik,Netherlands,0,1,0,1,1936
Bianco Bianchi,Italy,0,1,0,1,1936
Edgar Buchwalder,Switzerland,0,1,0,1,1936
Mario Gentili,Italy,0,1,0,1,1936
Armando Latini,Italy,0,1,0,1,1936
Bernard Leene,Netherlands,0,1,0,1,1936
Henk Ooms,Netherlands,0,1,0,1,1936
Kurt Ott,Switzerland,0,1,0,1,1936
Severino Rigoni,Italy,0,1,0,1,1936
Gottlieb Weber,Switzerland,0,1,0,1,1936
David Dawnay,Great Britain,0,1,0,1,1936
Bryan Fowler,Great Britain,0,1,0,1,1936
Humphrey Guinness,Great Britain,0,1,0,1,1936
William Hinde,Great Britain,0,1,0,1,1936
Hermann auf der Heide,Germany,0,1,0,1,1936
Ludwig Beisiegel,Germany,0,1,0,1,1936
Erich Cuntz,Germany,0,1,0,1,1936
Karl Dröse,Germany,0,1,0,1,1936
Fredy Gerdes,Germany,0,1,0,1,1936
Werner Hamel,Germany,0,1,0,1,1936
Harald Huffmann,Germany,0,1,0,1,1936
Erwin Keller,Germany,0,1,0,1,1936
Herbert Kemmer,Germany,0,1,0,1,1936
Werner Kubitzki,Germany,0,1,0,1,1936
Paul Mehlitz,Germany,0,1,0,1,1936
Carl Menke,Germany,0,1,0,1,1936
Fritz Messner,Germany,0,1,0,1,1936
Detlef Okrent,Germany,0,1,0,1,1936
Heinrich Peter,Germany,0,1,0,1,1936
Carl Ruck,Germany,0,1,0,1,1936
Heinz Raack,Germany,0,1,0,1,1936
Hans Scherbart,Germany,0,1,0,1,1936
Heinz Schmalix,Germany,0,1,0,1,1936
Tito Warnholtz,Germany,0,1,0,1,1936
Kutti Weiß,Germany,0,1,0,1,1936
Erich Zander,Germany,0,1,0,1,1936
Helene Mayer,Germany,0,1,0,1,1936
René Bondoux,France,0,1,0,1,1936
René Bougnol,France,0,1,0,1,1936
Jacques Coutrot,France,0,1,0,1,1936
André Gardère,France,0,1,0,1,1936
René Lemoine,France,0,1,0,1,1936
Aldo Masciotta,Italy,0,1,0,1,1936
Aldo Montano,Italy,0,1,0,1,1936
Vincenzo Pinton,Italy,0,1,0,1,1936
Athos Tanzini,Italy,0,1,0,1,1936
Gösta Almgren,Sweden,0,1,0,1,1936
Birger Cederin,Sweden,0,1,0,1,1936
Hans Drakenberg,Sweden,0,1,0,1,1936
Hans Granfelt,Sweden,0,1,0,1,1936
Sven Thofelt,Sweden,0,1,0,1,1936
Franz Fuchsberger,Austria,0,1,0,1,1936
Max Hofmeister,Austria,0,1,0,1,1936
Edi Kainberger,Austria,0,1,0,1,1936
Karl Kainberger,Austria,0,1,0,1,1936
Martin Kargl,Austria,0,1,0,1,1936
Josef Kitzmüller,Austria,0,1,0,1,1936
Anton Krenn,Austria,0,1,0,1,1936
Adolf Laudon,Austria,0,1,0,1,1936
Franz Mandl,Austria,0,1,0,1,1936
Klement Steinmetz,Austria,0,1,0,1,1936
Karl Wahlmüller,Austria,0,1,0,1,1936
Walter Werginz,Austria,0,1,0,1,1936
Jaroslava Bajerová,Czech Republic,0,1,0,1,1936
Vlasta Děkanová,Czech Republic,0,1,0,1,1936
Božena Dobešová,Czech Republic,0,1,0,1,1936
Vlasta Foltová,Czech Republic,0,1,0,1,1936
Anna Hřebřinová,Czech Republic,0,1,0,1,1936
Matylda Pálfyová,Czechoslovakia,0,1,0,1,1936
Zdena Veřmiřovská,Czech Republic,0,1,0,1,1936
Marie Větrovská,Czech Republic,0,1,0,1,1936
Walter Bach,Switzerland,0,1,0,1,1936
Walter Beck,Switzerland,0,1,0,1,1936
Edi Steinemann,Switzerland,0,1,0,1,1936
Leon Štukelj,Slovenia,0,1,0,1,1936
Franz Bartl,Austria,0,1,0,1,1936
Franz Berghammer,Austria,0,1,0,1,1936
Franz Bistricky,Austria,0,1,0,1,1936
Franz Brunner,Austria,0,1,0,1,1936
Hans Houschka,Austria,0,1,0,1,1936
Emil Juracka,Austria,0,1,0,1,1936
Ferdinand Kiefler,Austria,0,1,0,1,1936
Josef Krejci,Austria,0,1,0,1,1936
Otto Licha,Austria,0,1,0,1,1936
Fritz Maurer,Austria,0,1,0,1,1936
Anton Perwein,Austria,0,1,0,1,1936
Siegfried Powolny,Austria,0,1,0,1,1936
Siegfried Purner,Austria,0,1,0,1,1936
Walter Reisp,Austria,0,1,0,1,1936
Alfred Schmalzer,Austria,0,1,0,1,1936
Alois Schnabel,Austria,0,1,0,1,1936
Ludwig Schuberth,Austria,0,1,0,1,1936
Hans Tauscher,Austria,0,1,0,1,1936
Jaroslav Volak,Austria,0,1,0,1,1936
Poldl Wohlrab,Austria,0,1,0,1,1936
Fritz Wurmböck,Austria,0,1,0,1,1936
Hans Zehetner,Austria,0,1,0,1,1936
Gustaf Dyrssen,Sweden,0,1,0,1,1936
Charles Leonard,United States,0,1,0,1,1936
Josef Hasenöhrl,Austria,0,1,0,1,1936
Harry Julius Larsen,Denmark,0,1,0,1,1936
Richard Olsen,Denmark,0,1,0,1,1936
Alan Barrett,Great Britain,0,1,0,1,1936
Martin Bristow,Great Britain,0,1,0,1,1936
Peter Jackson,Great Britain,0,1,0,1,1936
Jan Sturrock,Great Britain,0,1,0,1,1936
Willi Kaidel,Germany,0,1,0,1,1936
Joachim Pirsch,Germany,0,1,0,1,1936
Dino Barsotti,Italy,0,1,0,1,1936
Enzo Bartolini,Italy,0,1,0,1,1936
Almiro Bergamo,Italy,0,1,0,1,1936
Mario Checcacci,Italy,0,1,0,1,1936
Guglielmo Del Bimbo,Italy,0,1,0,1,1936
Enrico Garzelli,Italy,0,1,0,1,1936
Oreste Grossi,Italy,0,1,0,1,1936
Cesare Milani,Italy,0,1,0,1,1936
Luciano Negrini,Italy,0,1,0,1,1936
Ottorino Quaglierini,Italy,0,1,0,1,1936
Guido Santin,Italy,0,1,0,1,1936
Dante Secchi,Italy,0,1,0,1,1936
Rolf Spring,Switzerland,0,1,0,1,1936
Heinz Hax,Germany,0,1,0,1,1936
Erich Krempel,Germany,0,1,0,1,1936
Ralph Berzsenyi,Hungary,0,1,0,1,1936
Jeanette Campbell,Argentina,0,1,0,1,1936
Ragnhild Hveger,Denmark,0,1,0,1,1936
Martha Genenger,Germany,0,1,0,1,1936
Ruth Halbsguth,Germany,0,1,0,1,1936
Leni Lohmar,Germany,0,1,0,1,1936
Inge Schmitz,Germany,0,1,0,1,1936
Erwin Sietas,Germany,0,1,0,1,1936
Velma Dunn,United States,0,1,0,1,1936
Ralph Flanagan,United States,0,1,0,1,1936
John Macionis,United States,0,1,0,1,1936
Elbert Root,United States,0,1,0,1,1936
Al Vande Weghe,United States,0,1,0,1,1936
Paul Wolf,United States,0,1,0,1,1936
Bernhard Baier,Germany,0,1,0,1,1936
Itze Gunst,Germany,0,1,0,1,1936
Josef Hauser,Germany,0,1,0,1,1936
Alfred Kienzle,Germany,0,1,0,1,1936
Paul Klingenburg,Germany,0,1,0,1,1936
Heinrich Krug,Germany,0,1,0,1,1936
Hans Schneider,Germany,0,1,0,1,1936
Hans Schulze,Germany,0,1,0,1,1936
Helmut Schwenn,Germany,0,1,0,1,1936
Gustav Schürger,Germany,0,1,0,1,1936
Fritz Stolze,Germany,0,1,0,1,1936
Saleh Mohamed,Egypt,0,1,0,1,1936
Eugen Deutsch,Germany,0,1,0,1,1936
Rudolf Ismayr,Germany,0,1,0,1,1936
"Václav Pšenička, Sr.",Czech Republic,0,1,0,1,1936
Aarne Reini,Finland,0,1,0,1,1936
Wolfgang Ehrl,Germany,0,1,0,1,1936
Ludwig Schweickert,Germany,0,1,0,1,1936
Fritz Schäfer,Germany,0,1,0,1,1936
Edvīns Bietags,Latvia,0,1,0,1,1936
Thure Andersson,Sweden,0,1,0,1,1936
John Nyman,Sweden,0,1,0,1,1936
Egon Svensson,Sweden,0,1,0,1,1936
Jozef Herda,Czechoslovakia,0,1,0,1,1936
Josef Klapuch,Czech Republic,0,1,0,1,1936
Ross Flood,United States,0,1,0,1,1936
Frank Millard,United States,0,1,0,1,1936
Dick Voliva,United States,0,1,0,1,1936
John Ditlev-Simonsen,Norway,0,1,0,1,1936
Olaf Ditlev-Simonsen,Norway,0,1,0,1,1936
Karsten Konow,Norway,0,1,0,1,1936
Magnus Konow,Norway,0,1,0,1,1936
Werner Krogmann,Germany,0,1,0,1,1936
Arvid Laurin,Sweden,0,1,0,1,1936
Fredrik Meyer,Norway,0,1,0,1,1936
Vaadjuv Nyqvist,Norway,0,1,0,1,1936
Lauritz Schmidt,Norway,0,1,0,1,1936
Hans Struksnæs,Norway,0,1,0,1,1936
Alf Tveten,Norway,0,1,0,1,1936
Nordahl Wallem,Norway,0,1,0,1,1936
Uno Wallentin,Sweden,0,1,0,1,1936
Johnny Loaring,Canada,0,1,0,1,1936
Arvo Askola,Finland,0,1,0,1,1936
Sulo Bärlund,Finland,0,1,0,1,1936
Lauri Lehtinen,Finland,0,1,0,1,1936
Yrjö Nikkanen,Finland,0,1,0,1,1936
Kalle Tuominen,Finland,0,1,0,1,1936
Audrey Brown,Great Britain,0,1,0,1,1936
Barbara Burke,Great Britain,0,1,0,1,1936
Eileen Hiscock,Great Britain,0,1,0,1,1936
Dorothy Odam-Tyler,Great Britain,0,1,0,1,1936
Violet Olney,Great Britain,0,1,0,1,1936
Don Finlay,Great Britain,0,1,0,1,1936
Ernie Harper,Great Britain,0,1,0,1,1936
Lies Krüger,Germany,0,1,0,1,1936
Anni Steuer,Germany,0,1,0,1,1936
Erwin Blask,Germany,0,1,0,1,1936
Luz Long,Germany,0,1,0,1,1936
Gianni Caldana,Italy,0,1,0,1,1936
Tullio Gonnelli,Italy,0,1,0,1,1936
Mario Lanzi,Italy,0,1,0,1,1936
Orazio Mariani,Italy,0,1,0,1,1936
Elio Ragni,Italy,0,1,0,1,1936
Masao Harada,Japan,0,1,0,1,1936
Shuhei Nishida,Japan,0,1,0,1,1936
Jadwiga Wajs-Marcinkiewicz,Poland,0,1,0,1,1936
Stanisława Walasiewicz,Poland,0,1,0,1,1936
Arthur Tell Schwab,Switzerland,0,1,0,1,1936
Dave Albritton,United States,0,1,0,1,1936
Harold Cagle,United States,0,1,0,1,1936
Bob Clark,United States,0,1,0,1,1936
Glenn Cunningham,United States,0,1,0,1,1936
Gordon Dunn,United States,0,1,0,1,1936
Al Fitch,United States,0,1,0,1,1936
Eddie O'Brien,United States,0,1,0,1,1936
Mack Robinson,United States,0,1,0,1,1936
Bob Young,United States,0,1,0,1,1936
Jacob Tullin Thams,Norway,0,1,0,1,1936
Ernst Künz,Austria,0,1,0,1,1936
Rudolf Eisenmenger,Austria,0,1,0,1,1936
Arno Breker,Germany,0,1,0,1,1936
Wilhelm Ehmer,Germany,0,1,0,1,1936
Alfred Hierl,Germany,0,1,0,1,1936
Kurt Thomas,Germany,0,1,0,1,1936
Romano Dazzi,Italy,0,1,0,1,1936
Bruno Fattori,Italy,0,1,0,1,1936
Lino Liviabella,Italy,0,1,0,1,1936
Luciano Mercante,Italy,0,1,0,1,1936
Józef Klukowski,Poland,0,1,0,1,1936
Charles Downing Lay,United States,0,1,0,1,1936
Erwin Casmir,Germany,0,0,2,2,1936
Julius Eisenecker,Germany,0,0,2,2,1936
August Heim,Germany,0,0,2,2,1936
Noël Vandernotte,France,0,0,2,2,1936
Tinus Osendarp,Netherlands,0,0,2,2,1936
Gerhard Pedersen,Denmark,0,0,1,1,1936
Josef Miner,Germany,0,0,1,1,1936
Fidel Ortiz,Mexico,0,0,1,1,1936
Erling Nilsen,Norway,0,0,1,1,1936
Francisco Risiglione,Argentina,0,0,1,1,1936
Raúl Villarreal,Argentina,0,0,1,1,1936
Carlos Borja,Mexico,0,0,1,1,1936
Hugo Borja,Mexico,0,0,1,1,1936
Rodolfo Choperena,Mexico,0,0,1,1,1936
Ignacio de la Vega,Mexico,0,0,1,1,1936
